resp_id,dept_metadata,q1_venue_feedback,q2_keynote_feedback,q3_workshop_feedback,q4_catering_feedback,q5_networking_ops,q6_overall_org,q7_final_thoughts
R_121,Tech,I was fine with the venue and there wasn't much to complain about.,It was a decent talk without standing out too much.,It felt average to me and the exercises were hit or miss.,The food setup was disappointing and the quality wasn't there.,The session was decent enough though I didn't get much beyond small talk. It was serviceable enough.,The organisation did the job and I came away fairly neutral. It felt ordinary overall.,It was alright in the end. I was mostly neutral on it.
R_122,Sales,The location was manageable and I didn't have strong feelings either way.,The presentation was fairly standard but I probably won't remember much of it. It felt pretty middle-of-the-road.,It was a fairly standard workshop and I got something out of it. I could take it or leave it.,I thought the catering was average but not memorable.,I had a few brief conversations and I chatted with a couple of people. It did the job and moved on.,It was acceptable overall though there was room to improve. Nothing stood out too much either way.,I don't have much more to add. It felt pretty middle-of-the-road.
R_123,Finance,Pretty average overall although it wasn't anything special.,The talk had a few good points even if it didn't surprise me. It did the job and moved on.,The workshop was passable but I wanted a bit more from it. It felt pretty middle-of-the-road.,I was okay with the catering but not memorable.,The networking session went well and the room opened up after a while.,The organisation was fine all things considered. I could take it or leave it.,No major complaints from me. I was mostly neutral on it.
R_124,Tech,The venue was okay once we got inside.,The speaker got through the material and I followed most of it.,It was a fairly standard workshop without being especially memorable.,Catering was one of the weaker parts and some of it was cold by the time I got to it.,The networking was okay for the amount of time given. It was okay without being memorable.,It worked well enough overall even if it could be tighter. It felt pretty middle-of-the-road.,This was worth attending. I came away satisfied.
R_125,Sales,It was a standard event space apart from a few small issues.,The keynote was okay even if it leaned a bit safe. It was okay without being memorable.,The session was fine overall and it felt familiar at times.,I expected better from the food for something people were clearly looking forward to.,I found it fairly average all things considered. It felt fairly standard to me.,The event came together reasonably well even if it could be tighter.,A fairly standard event overall. I could take it or leave it.
R_126,ESG,Dirty facilities.,Total waste of time.,Not relevant to my role.,Awful coffee.,Total fail.,The organisation was fine though there was room to improve.,Disappointing.
R_127,ESG,Way too cramped.,The talk needed more focus and the content felt thin.,Poorly organized.,Terrible service.,Very poorly structured.,Badly planned.,Wont return.
R_128,Sales,Too far from everything.,Too technical and dry.,I came out of the workshop confused and it needed more structure.,Very limited options.,The networking format needs work which made it easy to disengage.,I noticed a few planning problems throughout and people around me noticed too.,This left me unsatisfied overall.
R_129,Tech,The venue was hard to deal with and that distracted from the event.,Fell asleep halfway.,Disaster.,The catering could've been handled better especially for the people at the back.,The networking felt awkward and conversations never really got going.,Failed.,It was okay on balance. It worked well enough.
R_130,ESG,Very noisy area.,Unprofessional speaker.,The session felt disjointed and I wasn't sure what I was supposed to take away.,The food setup was disappointing especially for the people at the back.,That part of the event didn't really work for me and the structure didn't help.,Overall the planning showed some cracks for an event of this size.,Unsatisfied.
R_131,ESG,The room felt cramped and the temperature made it worse.,The speaker lost me after a while and I expected more substance.,Completely confusing.,Catering was one of the weaker parts and it took away from the break.,Networking was one of the weaker sections which made it easy to disengage.,Poor management.,There are a few things that need work.
R_132,Sales,The venue had a few obvious problems especially with the parking situation.,The talk felt longer than it needed to be for a session that should've had more impact.,The workshop needed clearer guidance and the session never fully recovered.,Stone cold meals.,The setup made networking harder than it should've been and it leaned too much on small talk.,The overall flow could've been handled better and those issues added up.,I don't think I'd return in the same format.
R_133,ESG,The setup made the venue frustrating once the room filled up.,The delivery made it harder to stay interested and it leaned too much on buzzwords.,It felt messy at times and the examples didn't help enough.,Hair in food.,I found the networking a bit frustrating for something meant to be more interactive.,The event felt rough around the edges especially in the transitions between sections.,Needs rework.
R_134,ESG,Impossible to find.,I wasn't convinced by the keynote and the speaker never quite connected with the room.,The workshop didn't come together for me for something that should've been more practical.,I had issues with the catering for something people were clearly looking forward to.,It felt too forced because the room setup got in the way.,Total chaos.,This needs another pass before the next run.
R_135,Finance,The venue let the event down a bit for the number of people there.,Could not hear anything.,The workshop could've been run better and the technical issues got in the way.,I expected better from the food especially for the people at the back.,I came away underwhelmed by the networking and people mostly stayed in their own circles.,Very frustrating.,I'd appreciate the slides from today's sessions.
R_136,HR,Air conditioning was broken.,I came away underwhelmed by the keynote and it didn't build momentum.,No clear instructions.,The catering felt below par and the service felt rushed.,I came away underwhelmed by the networking and it leaned too much on small talk.,Overall it didn't feel well managed once the schedule started slipping.,Please circulate the key materials.
R_137,Marketing,The room felt stuffy and it took a while to settle in.,The keynote didn't really work for me and the pacing didn't help.,The workshop was harder to follow than it should've been and the instructions weren't always clear.,I wasn't impressed with the food and the service felt rushed.,Too loud to speak.,It worked well enough overall with a few small hiccups.,I expected a bit more from this.
R_138,Marketing,The location was inconvenient and it felt more awkward than it should've.,I struggled to stay engaged during the keynote which made it hard to stay with it.,The workshop was passable but I wanted a bit more from it. It felt ordinary overall.,The food setup was disappointing and a few items ran out too quickly.,I didn't get much from the networking session especially once the noise level went up.,The event felt less organised than it should've been which made it harder to stay engaged.,This one didn't really land for me.
R_139,Marketing,Getting there was more trouble than it should've been once the room filled up.,The talk felt longer than it needed to be and it didn't build momentum.,The session lost me pretty quickly and the instructions weren't always clear.,Catering was one of the weaker parts and the options felt limited.,That part of the event didn't really work for me and people mostly stayed in their own circles.,The event felt less organised than it should've been and it affected the experience.,I came away disappointed.
R_140,Marketing,The room felt cramped and it took a while to settle in.,I struggled to stay engaged during the keynote once it got repetitive.,I didn't get much from the workshop which made it tough to stay engaged.,The catering could've been handled better and a few items ran out too quickly.,Networking was one of the weaker sections and I wouldn't keep it as is.,The organisation needed more work and that made the day feel longer.,I'd like the slides when they're ready.
R_141,Finance,The space wasn't comfortable and that was hard to ignore.,I wasn't convinced by the keynote and I expected more substance.,The session lost me pretty quickly and the pacing felt off.,The food wasn't great and the options felt limited. It left a poor impression on me.,The networking session didn't click and the structure didn't help.,I found the event a bit disorganised overall and it showed in the pacing.,It wasn't a great experience for me.
R_142,Sales,The setup made the venue frustrating and the noise outside didn't help.,The keynote felt flat and I stopped paying attention.,I thought the workshop was decent all things considered. I was mostly neutral on it.,I had issues with the catering especially for the people at the back.,The networking session didn't click and it ended before anything meaningful developed.,There were too many issues in the organisation and that made the day feel longer.,I hope the next version is much better.
R_143,ESG,It wasn't the best place to host this and the temperature made it worse.,The talk had a few good points even if it didn't surprise me. It felt pretty middle-of-the-road.,I thought the workshop was decent and I got something out of it.,The catering let the break down and the options felt limited.,I found the networking a bit frustrating especially once the noise level went up.,Overall it didn't feel well managed and people around me noticed too.,There were too many weak spots for me.
R_144,Marketing,The room felt stuffy especially with the parking situation.,The session dragged for me which made it hard to stay with it.,I came out of the workshop confused and the examples didn't help enough.,Catering was one of the weaker parts once the queue built up.,It felt too forced which made it easy to disengage.,The day felt harder to follow than it should've and those issues added up.,Would love the follow-up resources.
R_145,Tech,The location was inconvenient once the room filled up.,The keynote didn't really work for me and the speaker never quite connected with the room.,Wifi kept cutting out.,The catering needed work and a few items ran out too quickly. It made that part harder to enjoy.,The networking format needs work especially once the noise level went up.,The day felt harder to follow than it should've and it never quite recovered.,There were good bits and weaker bits. It was serviceable enough.
R_146,Marketing,The venue was hard to deal with and I noticed it straight away.,The speaker lost me after a while and I stopped paying attention.,It felt average to me though it could've gone deeper. It was fine for what it was.,I expected better from the food and the coffee didn't help.,Networking was one of the weaker sections for something meant to be more interactive.,Overall the planning showed some cracks once the schedule started slipping.,It would help to get the session deck.
R_147,Marketing,Getting there was more trouble than it should've been for the number of people there.,The keynote was okay even if it leaned a bit safe. It was serviceable enough.,I didn't get much from the workshop and the technical issues got in the way.,The catering could've been handled better and the coffee didn't help.,The setup made networking harder than it should've been and conversations never really got going.,I found the event a bit disorganised overall and people around me noticed too.,A copy of the materials would help.
R_148,Sales,The space wasn't comfortable and it felt more awkward than it should've.,The keynote felt flat and the pacing didn't help.,It was a fairly standard workshop and I got something out of it. It felt fairly standard to me.,The food wasn't great and it took away from the break.,I came away underwhelmed by the networking and it ended before anything meaningful developed.,The overall flow could've been handled better which made it harder to stay engaged.,This one didn't really land for me. It definitely needs improving.
R_149,Tech,The venue had a few obvious problems and I noticed it straight away.,The session dragged for me and it didn't build momentum.,It felt messy at times and I wasn't sure what I was supposed to take away.,The catering could've been handled better and the quality wasn't there. I felt the problem throughout.,The setup made networking harder than it should've been and the structure didn't help.,The overall flow could've been handled better and it affected the experience.,I don't think I'd return in the same format. I felt the problem throughout.
R_150,Tech,It wasn't the best place to host this and it took a while to settle in.,The talk needed more focus and the speaker never quite connected with the room.,I thought the workshop was decent all things considered. It was neither great nor bad.,The catering let the break down and the service felt rushed.,The networking format needs work for something meant to be more interactive.,The event felt rough around the edges once the schedule started slipping.,I thought it was decent enough. It was neither great nor bad.
R_151,Finance,It wasn't the best place to host this and I noticed it straight away.,I came away underwhelmed by the keynote for a session that should've had more impact.,There were some useful parts in the workshop though it could've gone deeper.,I expected better from the food and the quality wasn't there.,The networking session didn't click and people mostly stayed in their own circles.,I noticed a few planning problems throughout for an event of this size.,This needs another pass before the next run. It was the weakest part for me.
R_152,Sales,The location was inconvenient and the noise outside didn't help.,The talk needed more focus and I stopped paying attention.,I was okay with the session for an introductory session. It was okay without being memorable.,The food wasn't great once the queue built up.,The networking felt awkward and people mostly stayed in their own circles.,Overall the planning showed some cracks and it showed in the pacing.,Can the resources be shared after this.
R_153,Tech,The venue was hard to deal with and it took a while to settle in.,The keynote was okay even if it didn't surprise me.,The workshop was harder to follow than it should've been which made it tough to stay engaged.,The catering felt below par and some of it was cold by the time I got to it.,I didn't get much from the networking session for something meant to be more interactive.,The event felt less organised than it should've been and it never quite recovered.,Please share the slides afterwards.
R_154,Marketing,The venue was hard to deal with and the temperature made it worse.,The talk felt longer than it needed to be once it got repetitive.,The workshop didn't come together for me which made it tough to stay engaged.,The catering felt below par and it took away from the break. It could've been handled much better.,The setup made networking harder than it should've been and it ended before anything meaningful developed.,The organisation did the job without being especially polished. It was okay without being memorable.,This left me unsatisfied overall. It could've been handled much better.
R_155,Tech,The setup made the venue frustrating and that was hard to ignore.,The keynote felt flat and the speaker never quite connected with the room.,The session felt disjointed once the exercises started.,The catering could've been handled better for something people were clearly looking forward to.,The networking felt awkward and it ended before anything meaningful developed.,The organisation needed more work and those issues added up.,Overall it was fine. It was okay without being memorable.
R_156,HR,The room felt cramped especially with the parking situation.,The session was fine even if it didn't surprise me.,The workshop was okay but it didn't stand out much. It landed somewhere in the middle.,The catering felt below par and the options felt limited.,I found the networking a bit frustrating which made it easy to disengage.,Overall it was okay with a few small hiccups. It landed somewhere in the middle.,There are a few things that need work. It stood out for the wrong reasons.
R_157,HR,It wasn't the best place to host this and that distracted from the event.,The session was fine and the content was clear enough. It was serviceable enough.,I thought the workshop was decent all things considered. It was fine for what it was.,The catering needed work and a few items ran out too quickly. It left a poor impression on me.,It felt too forced and I wouldn't keep it as is.,I found the event a bit disorganised overall for an event of this size.,I thought it was decent enough. It landed somewhere in the middle.
R_158,Finance,The venue had a few obvious problems and that distracted from the event.,It was serviceable and I followed most of it. It was serviceable enough.,I didn't get much from the workshop and the pacing felt off.,The food wasn't great and the options felt limited. It made that part harder to enjoy.,I found the networking a bit frustrating because the room setup got in the way.,I thought the overall flow was decent with a few small hiccups. I could take it or leave it.,A fairly standard event overall. It did the job and moved on.
R_159,HR,The venue let the event down a bit and it felt more awkward than it should've.,The delivery made it harder to stay interested once it got repetitive.,I found the session more frustrating than useful and it needed more structure.,The catering needed work especially for the people at the back.,The networking format needs work and I wouldn't keep it as is.,There were too many issues in the organisation and those issues added up.,There were good bits and weaker bits. It did the job and moved on.
R_160,Sales,The setup made the venue frustrating for the number of people there.,The session dragged for me for a session that should've had more impact.,I found the session more frustrating than useful once the exercises started.,The food wasn't great and the service felt rushed.,I found the networking a bit frustrating and I wouldn't keep it as is.,I noticed a few planning problems throughout especially in the transitions between sections.,Would be great to get the presentation materials.
R_161,Sales,Getting there was more trouble than it should've been and that was hard to ignore.,Boring and repetitive.,It felt average to me though it could've gone deeper. It was neither great nor bad.,I wasn't impressed with the food and the options felt limited.,The networking session didn't click and conversations never really got going.,There were too many issues in the organisation which made it harder to stay engaged.,Please send around the deck.
R_162,Finance,The room felt cramped and that distracted from the event.,The delivery made it harder to stay interested which made it hard to stay with it.,The session felt disjointed and it needed more structure.,The catering needed work and the coffee didn't help.,It felt too forced because the room setup got in the way. It was hard to ignore.,The organisation needed more work and it never quite recovered.,Please circulate the key materials. That would be genuinely helpful.
R_163,Tech,Getting there was more trouble than it should've been and the noise outside didn't help.,The keynote felt flat and the content felt thin.,It was a fairly standard workshop and I got something out of it. It worked well enough.,The catering needed work and a few items ran out too quickly. It was the weakest part for me.,I didn't get much from the networking session and I wouldn't keep it as is.,The event felt less organised than it should've been and that made the day feel longer.,It would help to get the session deck. That would be useful for reference.
R_164,Marketing,It wasn't the best place to host this especially with the parking situation.,The delivery made it harder to stay interested for a session that should've had more impact.,The workshop could've been run better and the pacing felt off.,I had issues with the catering and the quality wasn't there.,I came away underwhelmed by the networking and conversations never really got going.,The overall flow could've been handled better and it never quite recovered.,This left me unsatisfied overall. I felt the problem throughout.
R_165,Tech,The room felt stuffy and I noticed it straight away.,I wasn't convinced by the keynote and the content felt thin.,The workshop needed clearer guidance and the examples didn't help enough.,The catering let the break down and some of it was cold by the time I got to it.,The networking session didn't click and it leaned too much on small talk.,The event felt rough around the edges and it showed in the pacing.,I thought it was decent enough. I was mostly neutral on it.
R_166,HR,The venue let the event down a bit and the noise outside didn't help.,The session dragged for me and it leaned too much on buzzwords.,The workshop didn't come together for me and the technical issues got in the way.,The catering felt below par and it took away from the break. I felt the problem throughout.,I didn't get much from the networking session because the room setup got in the way.,The event felt rough around the edges for an event of this size.,There are a few things that need work. That part needs a rethink.
R_167,Finance,The room felt cramped and the temperature made it worse. That part needs a rethink.,The talk needed more focus and the pacing didn't help.,I found the session more frustrating than useful and the examples didn't help enough.,I expected better from the food and a few items ran out too quickly.,It felt too forced because the room setup got in the way. It stood out for the wrong reasons.,Overall it didn't feel well managed for an event of this size.,It was alright in the end. It was okay without being memorable.
R_168,Sales,The venue let the event down a bit once the room filled up.,The keynote didn't really work for me and the pacing didn't help. It was the weakest part for me.,I came out of the workshop confused and I wasn't sure what I was supposed to take away.,I wasn't impressed with the food and it took away from the break.,The networking format needs work because the room setup got in the way.,There were too many issues in the organisation and it never quite recovered.,It was alright in the end. It was fine for what it was.
R_169,HR,The location was inconvenient and that was hard to ignore.,I struggled to stay engaged during the keynote for a session that should've had more impact.,The workshop was passable without being especially memorable. I could take it or leave it.,The food setup was disappointing for something people were clearly looking forward to.,That part of the event didn't really work for me and it leaned too much on small talk.,Overall it didn't feel well managed and it showed in the pacing.,Overall it was fine. Nothing stood out too much either way.
R_170,HR,The space wasn't comfortable for the number of people there.,I came away underwhelmed by the keynote which made it hard to stay with it.,The workshop could've been run better which made it tough to stay engaged.,I wasn't impressed with the food once the queue built up. That pulled the quality down for me.,That part of the event didn't really work for me and conversations never really got going.,The organisation needed more work and it affected the experience.,I hope the next version is much better. It stood out for the wrong reasons.
R_171,Tech,The venue let the event down a bit for the number of people there. It stood out for the wrong reasons.,The keynote was okay and the content was clear enough.,The session was fine overall though it could've gone deeper. It did the job and moved on.,I expected better from the food especially for the people at the back. That pulled the quality down for me.,The networking felt awkward and the structure didn't help.,The day felt harder to follow than it should've and it affected the experience.,Would love the follow-up resources. That would round things off nicely.
R_172,Finance,The room felt stuffy and the temperature made it worse.,The speaker lost me after a while and the pacing didn't help.,The workshop was harder to follow than it should've been for something that should've been more practical.,The food setup was disappointing and the quality wasn't there. I noticed the issue straight away.,Networking was one of the weaker sections because the room setup got in the way.,I felt neutral about the overall setup though there was room to improve. I could take it or leave it.,I expected a bit more from this. It made that part harder to enjoy.
R_173,Tech,Getting there was more trouble than it should've been and it felt more awkward than it should've.,The keynote didn't really work for me and the pacing didn't help. It made that part harder to enjoy.,The session lost me pretty quickly which made it tough to stay engaged.,I had issues with the catering and a few items ran out too quickly.,It felt too forced for something meant to be more interactive.,Overall the planning showed some cracks and people around me noticed too.,This one didn't really land for me. That pulled the quality down for me.
R_174,ESG,The space wasn't comfortable once the room filled up.,The talk needed more focus and I expected more substance.,It felt messy at times once the exercises started.,The food setup was disappointing and the coffee didn't help. It was hard to ignore.,I came away underwhelmed by the networking and the structure didn't help.,The day felt harder to follow than it should've which made it harder to stay engaged.,There are a few things that need work. I noticed the issue straight away.
R_175,Sales,The space wasn't comfortable and the noise outside didn't help.,I wasn't convinced by the keynote and I stopped paying attention.,I was okay with the session all things considered. It felt ordinary overall.,Catering was one of the weaker parts and some of it was cold by the time I got to it. It could've been handled much better.,It felt too forced especially once the noise level went up.,It worked well enough overall and nothing major went wrong for me. There wasn't much to react to.,Please send around the deck. That would make the event more useful.
R_176,Sales,Didnt notice.,Need more time to think.,Dont know.,Didnt eat.,Not sure.,Undecided.,I'm undecided overall.
R_177,Finance,I dont have a preference.,,Not applicable.,,Not for me.,Hard to judge.,I dont know.
R_178,ESG,I was mostly focused on the sessions.,I'm undecided on the keynote overall.,I missed it.,I am not sure.,The networking format needs work which made it easy to disengage. That made the whole thing less enjoyable.,Neutral.,No comment.
R_179,Marketing,,I need a bit more time to think about that talk.,I missed the workshop.,,The networking felt awkward and it leaned too much on small talk.,Not sure.,I need a little more time before judging it properly.
R_180,Marketing,Not sure about the venue.,,I skipped that part of the event.,I don't have a strong take on the food.,Maybe.,Hard to judge the event overall.,I don't have a strong final view yet.
R_181,Sales,No opinion.,Not sure.,I can't comment on the workshop because I missed it.,Wasnt hungry.,Hard to judge the networking fairly.,I'm still undecided on the overall setup.,Hard to sum it up right now.
R_182,Tech,The venue didn't stand out to me.,Hard to say.,,Dont remember.,,I dont know.,I thought it was decent enough. It felt ordinary overall.
R_183,HR,I wasn't paying much attention to the venue.,I feel mixed about the keynote.,I feel mixed about that session.,No comment.,I dont know.,I don't really know how to rate it overall.,I feel mixed after attending.
R_184,Marketing,I don't have much to add about the venue.,I was late.,Maybe later.,I didn't try the catering.,It felt too forced because the room setup got in the way. That part needs a rethink.,It was acceptable overall though there was room to improve. I didn't have strong feelings about it.,Nothing dramatic to add from me. It felt pretty middle-of-the-road.
R_185,Marketing,Nothing much comes to mind about the venue.,It didn't land strongly enough for me to judge it firmly.,,I didn't get a chance to eat.,Didnt participate.,,Nothing dramatic to add from me. Nothing stood out too much either way.
R_186,Marketing,Not enough stood out for me to rate it strongly.,I don't have much to say about the keynote.,I need more time to decide on the workshop.,I only grabbed water so I can't really rate it.,Networking was one of the weaker sections especially once the noise level went up.,I don't have much to add about the overall setup.,There were good bits and weaker bits. There wasn't much to react to.
R_187,Marketing,I didn't really notice the venue much.,I'm still not sure how I feel about the keynote.,Skipped this part.,I feel neutral about the food overall.,I'm undecided on that section.,I don't have a strong view on the overall organisation.,
R_188,ESG,I can't say much about the venue.,I only caught the ending of the keynote.,I'm not sure how to rate the workshop.,Nothing stands out to me about the catering.,I didn't get much from the networking session which made it easy to disengage.,,I'm still not sure what to make of it.
R_189,Finance,No strong opinion on the venue.,Hard to rate the keynote properly.,I don't have a firm opinion on the workshop.,,,,
R_190,Finance,Hard to judge the venue fairly.,The keynote didn't leave a clear impression on me.,Hard to judge the workshop properly.,,The networking session didn't click and it ended before anything meaningful developed. It definitely needs improving.,I feel mixed about the event as a whole.,I'm still on the fence about the event.
R_191,HR,Hard to judge the venue fairly. I don't feel strongly either way.,,I don't really know what to make of the workshop.,I wasn't paying much attention to the food.,I feel mixed about that part.,Nothing about the organisation stood out strongly to me.,
R_192,Sales,I don't have much to add about the venue. I didn't notice enough to judge it.,,I had to step out before the workshop.,,I can't say much because I didn't participate.,The overall flow didn't leave a clear impression on me.,No firm final thought from me yet.
R_193,Finance,Nothing much comes to mind about the venue. No strong takeaway from me.,,I only caught a small part of the workshop.,No strong opinion on the catering.,I could go either way on the networking.,I could go either way on the organisation.,I don't have much to add at this point.
R_194,HR,I was mostly focused on the sessions. It wasn't memorable enough to call.,I don't have a strong take on the keynote.,,,I didn't get much from the networking session especially once the noise level went up. It didn't meet expectations.,I'm not sure how to score the event as a whole.,Still processing the whole thing.
R_195,Finance,I didn't really notice the venue much. It didn't leave much of an impression.,,I'm undecided on it.,I didn't have any of the food.,Nothing much stands out about it to me.,I don't have much to add about the overall setup. I was focused on other parts.,I need a little more time before judging it properly. I'm not the best person to judge that.
R_196,Tech,Not enough stood out for me to rate it strongly. I was focused on other parts.,,The workshop didn't leave a strong impression on me.,I didn't eat anything.,I don't have much to say about the networking.,I don't have a strong view on the overall organisation. It didn't leave much of an impression.,Still processing the whole thing. It wasn't memorable enough to call.
R_197,ESG,,I could go either way on that session.,I could take it or leave it.,,I'm not sure how to rate the networking.,,Not sure.
R_198,ESG,Average.,,Nothing about the workshop stood out strongly to me.,Hard to say much about the catering.,,I feel mixed about the event as a whole. It passed by without much impact.,
R_199,Marketing,The venue was okay overall. I didn't have strong feelings about it.,Didnt attend.,I don't really know what to make of the workshop. I didn't spend enough attention on it.,I don't really remember the catering.,I skipped most of the networking session.,I'm still undecided on the overall setup. Nothing clear came to mind for me.,No firm final thought from me yet. I'm still undecided on that part.
R_200,Marketing,,I wasn't there for the keynote.,I need more time to decide on the workshop. I don't feel confident scoring it.,The food didn't leave much of an impression on me.,The networking didn't leave a strong impression on me.,Nothing about the organisation stood out strongly to me. I couldn't really rate it properly.,I'm still on the fence about the event. I couldn't really rate it properly.
R_201,HR,,It didn't land strongly enough for me to judge it firmly. I didn't notice enough to judge it.,I'm undecided on it. I could go either way on it.,I missed the food break.,I don't really know what to make of the networking.,The event was fairly standard in how it was run and I came away fairly neutral. I was mostly neutral on it.,I'm undecided overall. I couldn't really rate it properly.
R_202,ESG,Not enough stood out for me to rate it strongly. I didn't notice enough to judge it.,I didn't catch that session.,Nothing about the workshop stood out strongly to me. I didn't notice enough to judge it.,I don't have much to add about the catering.,I wasn't active during the networking block.,I could go either way on the organisation. I don't feel confident scoring it.,
R_203,HR,,,I'm not sure how to rate the workshop. I don't feel strongly either way.,I can't really judge the catering.,I didn't get much from the networking session especially once the noise level went up. It definitely needs improving.,I don't have much to add about the overall setup. I didn't spend enough attention on it.,I need a little more time before judging it properly. I don't have much to add there.
R_204,Tech,No strong opinion on the venue. I don't have much to add there.,I had to step out during the keynote.,Hard to judge the workshop properly. I was focused on other parts.,I skipped the catering.,I only watched from the side.,I don't have a strong view on the overall organisation. I don't feel strongly either way.,Hard to sum it up right now. I was focused on other parts.
R_205,Marketing,The venue was decent enough without being memorable.,,I don't really know what to make of the workshop. It didn't leave much of an impression.,I wasn't hungry so I passed on the food.,The setup made networking harder than it should've been and it leaned too much on small talk. I felt the problem throughout.,Hard to judge the event overall. I don't have much to add there.,I feel mixed after attending. It didn't leave much of an impression.
R_206,Tech,It felt fairly typical and I didn't have strong feelings either way.,I'm undecided on the keynote overall. I'm still undecided on that part.,I wasn't there for that workshop.,I can't comment on the catering because I didn't eat.,I don't have a strong view on the networking session.,I'm still undecided on the overall setup. I could go either way on it.,I'm undecided overall. Nothing clear came to mind for me.
R_207,Finance,,,,Hard to say much about the catering. No strong takeaway from me.,I came away underwhelmed by the networking and it leaned too much on small talk. It was the weakest part for me.,Nothing about the organisation stood out strongly to me. It wasn't memorable enough to call.,Still processing the whole thing. I couldn't really rate it properly.
R_208,Marketing,I don't have much to add about the venue. I'm not the best person to judge that.,I joined after the keynote had already started.,I missed most of the workshop.,I wasn't around when food was served.,I stayed with my own group instead.,The event was fairly standard in how it was run though there was room to improve. It was serviceable enough.,I don't have a strong final view yet. No strong takeaway from me.
R_209,Tech,I wasn't paying much attention to the venue. It wasn't memorable enough to call.,I don't have a strong take on the keynote. No strong takeaway from me.,I didn't attend that session.,,The setup made networking harder than it should've been and people mostly stayed in their own circles.,The overall flow didn't leave a clear impression on me. I'm not the best person to judge that.,I don't have a strong final view yet. I don't feel confident scoring it.
R_210,Marketing,The location was manageable once we got inside. It felt ordinary overall.,,I wasn't in the room for it.,I don't really remember the catering. It wasn't memorable enough to call.,I feel mixed about that part. It wasn't memorable enough to call.,I don't have much to add about the overall setup. It passed by without much impact.,A fairly standard event overall. I was mostly neutral on it.
R_211,HR,I didn't really notice the venue much. I didn't spend enough attention on it.,,,The food didn't leave much of an impression on me. I'm not the best person to judge that.,Nothing much stands out about it to me. I'm not the best person to judge that.,I'm not sure how to score the event as a whole. I couldn't really rate it properly.,I feel mixed after attending. I don't feel strongly either way.
R_212,Tech,The venue was okay and there wasn't much to complain about.,I only saw a small part of the keynote.,I came in after the workshop had started.,I feel neutral about the food overall. It passed by without much impact.,The setup made networking harder than it should've been and it leaned too much on small talk. That made the whole thing less enjoyable.,,I'm undecided overall. No strong takeaway from me.
R_213,Tech,The venue was decent enough apart from a few small issues. It felt pretty middle-of-the-road.,I wasn't in the room for most of it.,I came in after the workshop had started. I didn't see enough to say more.,Nothing stands out to me about the catering. I couldn't really rate it properly.,I don't have much to say about the networking. It passed by without much impact.,I could go either way on the organisation. Nothing clear came to mind for me.,I don't have much to add at this point. It passed by without much impact.
R_214,ESG,,I can't really rate the keynote because I missed it.,I missed most of the workshop. I can't give a useful judgment there.,I didn't eat anything. So I can't really comment beyond that.,I'm undecided on that section. I'm not the best person to judge that.,,It was alright in the end. Nothing stood out too much either way.
R_215,Marketing,Not enough stood out for me to rate it strongly. It passed by without much impact.,I missed most of the keynote.,,I can't really judge the catering. Nothing clear came to mind for me.,,,No firm final thought from me yet. I'm not the best person to judge that.
R_216,HR,I can't say much about the venue. I don't feel confident scoring it.,I feel mixed about the keynote. I could go either way on it.,I missed the workshop. That's why I don't have much to add.,I wasn't hungry so I passed on the food. That's why I don't have much to add.,,,I don't have a strong final view yet. Nothing clear came to mind for me.
R_217,HR,No strong opinion on the venue. I'm still undecided on that part.,I came in too late to judge the keynote.,Nothing about the workshop stood out strongly to me. I was focused on other parts.,,,I feel mixed about the event as a whole. I didn't notice enough to judge it.,I feel mixed after attending. Nothing clear came to mind for me.
R_218,HR,Nothing much comes to mind about the venue. I'm still undecided on that part.,,,,I stepped out during the networking session.,It worked well enough overall and nothing major went wrong for me. It was serviceable enough.,I'm still on the fence about the event. I could go either way on it.
R_219,Finance,Not enough stood out for me to rate it strongly. I couldn't really rate it properly.,I had to step out during the keynote. So I don't want to force an opinion.,I can't comment on the workshop because I missed it. That makes it hard to rate fairly.,I don't really remember the catering. I could go either way on it.,I didn't end up joining in.,,A fairly standard event overall. It worked well enough.
R_220,Sales,I was mostly focused on the sessions. Nothing clear came to mind for me.,I can't really rate the keynote because I missed it. I didn't see enough to say more.,I'm undecided on it. I don't have much to add there.,I didn't get a chance to eat. I don't think I saw enough of it.,That part of the event didn't really work for me and it ended before anything meaningful developed.,I'm not sure how to score the event as a whole. It wasn't memorable enough to call.,I don't have much to add at this point. I didn't notice enough to judge it.
R_221,Finance,Not enough stood out for me to rate it strongly. I don't feel strongly either way.,I missed most of the keynote. So I can't really comment beyond that.,I wasn't in the room for it. I don't think I saw enough of it.,I only grabbed water so I can't really rate it. I didn't see enough to say more.,,I'm not sure how to score the event as a whole. I don't have much to add there.,
R_222,Marketing,The venue was decent enough apart from a few small issues. It felt ordinary overall.,I need a bit more time to think about that talk. I'm not the best person to judge that.,I feel mixed about that session. I couldn't really rate it properly.,Nothing stands out to me about the catering. It wasn't memorable enough to call.,I could go either way on the networking. No strong takeaway from me.,I could go either way on the organisation. No strong takeaway from me.,
R_223,Sales,The venue didn't stand out to me. It passed by without much impact.,I don't have much to say about the keynote. No strong takeaway from me.,The workshop didn't leave a strong impression on me. Nothing clear came to mind for me.,I skipped the catering. That part mostly passed me by.,I came away underwhelmed by the networking and it leaned too much on small talk. It left a poor impression on me.,I feel mixed about the event as a whole. It didn't leave much of an impression.,I'm still not sure what to make of it. No strong takeaway from me.
